RANK,TEAM,GP,W,L,MIN,DEF_RTG,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,SEASON,PLAY
17,Houston Rockets,66,34,32,48.7,102.1,30.5,73.4,7.5,4.8,16.7,13.3,13.7,44.5,2011-12,reg
18,Phoenix Suns,66,33,33,48,103.8,30.8,71.7,6.5,5.5,15.2,14.2,12.6,43.4,2011-12,reg
19,Milwaukee Bucks,66,31,35,48.1,102.4,30,70.9,8.3,5.1,16.5,13.8,13.4,41.4,2011-12,reg
20,Portland Trail Blazers,66,28,38,48.4,103.7,29.5,72.8,8,4.9,16,13.4,14.3,42.2,2011-12,reg
21,Minnesota Timberwolves,66,26,40,48.3,103.6,31.7,73,6.6,4.4,18.4,14,15.8,44.1,2011-12,reg
22,Detroit Pistons,66,25,41,48.4,104,28.5,72.8,7,4.2,18.4,12.2,14,40.1,2011-12,reg
23,Golden State Warriors,66,23,43,48.2,106,29.5,69.1,8,5.5,16.2,15.3,14.4,43.1,2011-12,reg
23,Toronto Raptors,66,23,43,48.4,101.5,31.4,75.4,6.5,4.9,15.4,12.4,12.5,37.6,2011-12,reg
25,New Jersey Nets,66,22,44,48.2,106.9,28.5,70.7,7.5,3.9,17.7,13.6,14.8,44.2,2011-12,reg
25,Sacramento Kings,66,22,44,48.2,106.8,29.5,70.5,8.5,4.9,17.8,14.4,17.1,48.2,2011-12,reg
27,Cleveland Cavaliers,66,21,45,48.4,106,29.5,72.2,7.1,4,16.9,14.5,11.7,43.6,2011-12,reg
27,New Orleans Hornets,66,21,45,48.3,102.3,30.2,73.1,7.4,4.8,17.7,13.3,12.9,40.9,2011-12,reg
29,Washington Wizards,66,20,46,48.1,103.8,29.9,70.9,8,6.3,18.2,14.5,14.5,40.7,2011-12,reg
30,Charlotte Bobcats,66,7,59,48.2,107.8,28.7,70.9,6,5.5,17.2,15.4,16,48.3,2011-12,reg
1,Chicago Bulls,82,62,20,48.4,97.4,32.4,76.2,7.2,5.7,15.4,11.9,13,36.2,2010-11,reg
2,San Antonio Spurs,82,61,21,48.2,102.8,31.7,74.6,7.3,4.5,15.3,13.2,14,41.2,2010-11,reg
3,Miami Heat,82,58,24,48.2,100.7,32.5,75.5,6.6,5.2,15.5,12.8,13,38.6,2010-11,reg
4,Dallas Mavericks,82,57,25,48.1,102.3,31.9,74.8,6.8,4.3,15.4,12.6,13.9,42,2010-11,reg
4,Los Angeles Lakers,82,57,25,48.4,101.3,31.9,72.3,7.3,5.1,14.7,13.8,13.7,39.9,2010-11,reg
6,Boston Celtics,82,56,26,48.2,97.8,31,74.7,8.2,4.2,15.1,12.5,11.2,37,2010-11,reg
7,Oklahoma City Thunder,82,55,27,48.8,104,31.8,73.6,8,5.9,15.4,14.4,12.3,44.9,2010-11,reg
8,Orlando Magic,82,52,30,48.4,99.1,32.7,76.9,6.7,4.7,16.5,11.5,10.7,35.4,2010-11,reg
9,Denver Nuggets,82,50,32,48.1,104.8,32.3,75.4,7.4,4.3,15.6,13.2,12.2,41.2,2010-11,reg
10,Portland Trail Blazers,82,48,34,48.3,104.2,27.2,72,8,4.4,15,13.3,11.4,40.2,2010-11,reg
11,Memphis Grizzlies,82,46,36,48.5,102.5,29.2,72.5,9.4,5.4,15.3,12.7,15,40.3,2010-11,reg
11,New Orleans Hornets,82,46,36,48.4,102.5,30.1,76.2,7.6,4.4,14.6,10.5,11.7,38.1,2010-11,reg
13,Atlanta Hawks,82,44,38,48.1,104.6,30,74.6,6.1,4.2,15.2,12.8,14.1,40.5,2010-11,reg
14,Houston Rockets,82,43,39,48.5,106.2,31.1,72.7,7.1,4.5,15.2,14.3,14.7,45.9,2010-11,reg
15,New York Knicks,82,42,40,48.2,106.9,30.1,71.9,7.6,5.8,16.1,14.5,12.7,46,2010-11,reg
16,Philadelphia 76ers,82,41,41,48.6,102.5,31.4,74.5,7.6,4.3,14.7,12.2,13.3,41,2010-11,reg
17,Phoenix Suns,82,40,42,48.8,107.4,30.2,71.6,6.6,4.4,16.8,14.1,14,43.8,2010-11,reg
18,Utah Jazz,82,39,43,48.5,107.3,28.5,71.7,7.7,5.9,16.6,12.9,13.1,40.3,2010-11,reg
19,Indiana Pacers,82,37,45,48.2,103.4,32.4,74.1,7.1,5.6,17.1,12.9,13.3,39,2010-11,reg
20,Golden State Warriors,82,36,46,48.4,107.6,28.9,69.3,9,5,17.6,14.4,19.3,45.5,2010-11,reg
21,Milwaukee Bucks,82,35,47,48.4,99.9,30.2,74.8,7.5,4.9,14.8,11.9,12.1,37.5,2010-11,reg
22,Charlotte Bobcats,82,34,48,48.3,104.8,29.8,75.2,6.4,5.3,16.5,12.8,14.3,39.8,2010-11,reg
23,Los Angeles Clippers,82,32,50,48.4,106.3,30.5,73.2,7.1,4.9,19.1,13.2,14.2,41,2010-11,reg
24,Detroit Pistons,82,30,52,48.5,109,27.3,72.1,7.3,4,16.3,13.9,15.7,44,2010-11,reg
25,New Jersey Nets,82,24,58,48.8,107,29.8,74.2,5.6,4.7,15.9,13,13.3,41.5,2010-11,reg
25,Sacramento Kings,82,24,58,48.4,106.3,30.8,74.4,7.4,4.8,18.9,12.8,17.8,46,2010-11,reg
27,Washington Wizards,82,23,59,48.6,107.2,29,70.5,8.1,6.1,18.1,14,16.6,44.1,2010-11,reg
28,Toronto Raptors,82,22,60,48.2,110,28.6,72,7.1,4.3,17.7,13.9,16.7,47.4,2010-11,reg
29,Cleveland Cavaliers,82,19,63,48.2,109.1,29.9,73.3,6.6,4.2,15.8,13.2,14.2,42.2,2010-11,reg
30,Minnesota Timberwolves,82,17,65,48.2,108.3,31.2,73.7,7.2,5.1,20,14.2,17.1,41.8,2010-11,reg
1,Cleveland Cavaliers,82,61,21,48.2,101.5,32.8,77.2,6.9,5.2,15.6,11.7,13.2,36.8,2009-10,reg
2,Orlando Magic,82,59,23,48.1,100.2,33.4,77.4,6.2,5.6,16.3,11.7,11.2,36.6,2009-10,reg
3,Los Angeles Lakers,82,57,25,48.4,101.1,32.5,74.4,7.5,4.9,15.2,12.9,12.8,40.7,2009-10,reg
4,Dallas Mavericks,82,55,27,48.5,103.2,31.5,73.7,7.6,5.5,15,12.9,13.4,41.7,2009-10,reg
5,Phoenix Suns,82,54,28,48.1,106.9,31.9,70.8,5.8,5.1,17.2,16.1,15.3,43.8,2009-10,reg
6,Atlanta Hawks,82,53,29,48.4,104,29.9,72.7,7.2,5,13.6,14,15.9,42.9,2009-10,reg
6,Denver Nuggets,82,53,29,48.2,104.7,30.5,72.4,8.3,5.1,16.5,14,13.9,42.6,2009-10,reg
6,Utah Jazz,82,53,29,48.2,102.9,31.6,75.6,8.2,4.9,17.1,12.2,15,40,2009-10,reg
9,San Antonio Spurs,82,50,32,48.2,102,32,76.3,6.3,4.6,15.7,12.6,14.7,41,2009-10,reg
9,Oklahoma City Thunder,82,50,32,48.3,101.6,31.8,73.6,8,5.9,16.3,14.3,12.5,44,2009-10,reg
9,Boston Celtics,82,50,32,48.2,101.1,29.9,73.8,8.5,4.9,16.1,12.8,11.6,38.2,2009-10,reg
9,Portland Trail Blazers,82,50,32,48.4,104,29.1,74.8,6.4,4.3,14.1,12.9,11.2,40.9,2009-10,reg
13,Miami Heat,82,47,35,48.5,100.9,31.1,74.9,7.4,5.6,13.8,12.6,11.4,37,2009-10,reg
14,Milwaukee Bucks,82,46,36,48.7,100.9,31.2,76.4,7.1,4.7,14.8,11.1,12.8,37.5,2009-10,reg
15,Charlotte Bobcats,82,44,38,48.5,100.2,30.4,74.2,7.7,5.4,16.9,12.7,12.8,39.6,2009-10,reg
16,Houston Rockets,82,42,40,48.5,105.5,30.1,73.8,7.1,3.9,16.4,13.4,14.1,45.6,2009-10,reg
17,Chicago Bulls,82,41,41,48.5,102.6,33.1,74.8,6.5,5.8,15.5,12.9,13.3,39.7,2009-10,reg
18,Memphis Grizzlies,82,40,42,48.5,107.6,30.4,73.3,7.9,4.9,18.8,13.2,18,47.7,2009-10,reg
18,Toronto Raptors,82,40,42,48.2,110.2,30.6,72.9,5.7,4.7,15.6,13.5,17.2,42.4,2009-10,reg
20,New Orleans Hornets,82,37,45,48.4,107.3,29.9,73.8,7.6,3.7,15.9,13.4,14.4,45.2,2009-10,reg
21,Indiana Pacers,82,32,50,48.1,104.2,31.9,73,7.1,5.4,17.4,14,13.5,39.3,2009-10,reg
22,New York Knicks,82,29,53,48.5,109.1,30.2,72.1,7.1,3.7,15.9,14.1,12.7,47.2,2009-10,reg
22,Los Angeles Clippers,82,29,53,48.1,107.1,30.5,74,6.5,5.7,18.8,13.5,13.6,43.5,2009-10,reg
24,Philadelphia 76ers,82,27,55,48.3,107.6,29.5,73.2,8.1,5.4,16.4,12.7,13.7,42.5,2009-10,reg
24,Detroit Pistons,82,27,55,48.2,108.9,27.3,73.4,7.3,3.8,16.2,13,14.1,38.6,2009-10,reg
26,Golden State Warriors,82,26,56,48.1,109.4,29.2,68.5,9.3,4.1,17.9,16,18.2,48.4,2009-10,reg
26,Washington Wizards,82,26,56,48.4,106.7,30,72.4,6,5.1,17.1,13.5,13.8,41.6,2009-10,reg
28,Sacramento Kings,82,25,57,48.5,107.2,30.7,73.5,6.9,4.5,16.8,13.8,15,45,2009-10,reg
29,Minnesota Timberwolves,82,15,67,48.2,109.3,31.2,73.6,7.3,3.7,19.6,13.4,17.9,44.6,2009-10,reg
30,New Jersey Nets,82,12,70,48.2,108,28.8,71.8,7,4.8,16.6,13.9,16.5,44.9,2009-10,reg
1,Cleveland Cavaliers,82,66,16,48.2,99.4,31.4,74.6,7.2,5.3,14.7,12,12.6,37.1,2008-09,reg
2,Los Angeles Lakers,82,65,17,48.2,101.9,31.5,73,8.8,5.1,15.1,13.3,11.5,41.7,2008-09,reg
3,Boston Celtics,82,62,20,48.5,99.4,31.5,75.6,7.6,4.7,17.5,11,10.6,36.1,2008-09,reg
4,Orlando Magic,82,59,23,48.1,98.9,33.3,75.9,7,5.4,15,12.5,11.2,35.7,2008-09,reg
5,Denver Nuggets,82,54,28,48.1,103.5,30.6,71.7,8.7,6,16.8,14.3,11.6,39,2008-09,reg
5,Portland Trail Blazers,82,54,28,48.4,104.5,28.8,75,6.7,4.9,14.1,12.1,10.3,38.4,2008-09,reg
5,San Antonio Spurs,82,54,28,48.5,102,32.2,78,5.8,4,13.2,10.8,12.1,37,2008-09,reg
8,Houston Rockets,82,53,29,48.3,101.4,32.5,75.3,6.7,4.3,15.7,11.7,11.7,38,2008-09,reg
9,Dallas Mavericks,82,50,32,48.3,105.3,31.6,74.6,7.2,5.2,14.8,13,13.3,38.9,2008-09,reg
10,New Orleans Hornets,82,49,33,48.2,104.1,29.9,74.9,7.2,4.1,13.9,11.7,11.2,35.8,2008-09,reg
11,Utah Jazz,82,48,34,48.5,104.7,29.5,72.7,8.8,4.6,16.6,13.6,13.3,43.3,2008-09,reg
12,Atlanta Hawks,82,47,35,48.1,104.6,29.4,71.6,7.4,4.6,14,13.3,12.5,40.8,2008-09,reg
13,Phoenix Suns,82,46,36,48.2,108.5,30.7,71.7,7.2,5.1,18.6,15.4,13.2,39.8,2008-09,reg
14,Miami Heat,82,43,39,48.7,104.7,29.4,72.9,7.9,5.5,14.7,13,11.4,39.1,2008-09,reg
15,Chicago Bulls,82,41,41,48.6,105.8,30.3,70.9,7.5,5.5,16.9,15.4,12.7,43.3,2008-09,reg
15,Philadelphia 76ers,82,41,41,48.2,104.7,28.5,71.4,8,5.1,16.3,13.3,11.1,39.8,2008-09,reg
17,Detroit Pistons,82,39,43,48.5,105.2,29.9,74,6,4.6,13.1,11.7,10.4,37.6,2008-09,reg
18,Indiana Pacers,82,36,46,48.4,106.5,32.5,74.5,7,5.3,17,12.6,12.5,37.8,2008-09,reg
19,Charlotte Bobcats,82,35,47,48.6,103.4,28.9,73,7.1,4.8,16.6,13.4,10.6,37.6,2008-09,reg
20,New Jersey Nets,82,34,48,48.4,108.2,29.5,73.5,6.8,4.8,15.6,13.1,13.2,38.4,2008-09,reg
20,Milwaukee Bucks,82,34,48,48.2,104.9,28.9,74,7.4,3.8,16.6,12.9,11.9,36.2,2008-09,reg
22,Toronto Raptors,82,33,49,48.3,107.1,30.6,73.7,6.4,4.8,15.6,13.4,11.5,40.6,2008-09,reg
23,New York Knicks,82,32,50,48.3,108.4,31,72.7,7.4,2.5,16.7,13.7,12.9,45.7,2008-09,reg
24,Golden State Warriors,82,29,53,48.5,110.1,30.4,68.1,7.8,6.4,18,17.1,16.8,48.6,2008-09,reg
25,Minnesota Timberwolves,82,24,58,48.3,109.1,29.8,75,6.2,3.9,16.5,12.1,13,39.8,2008-09,reg
25,Memphis Grizzlies,82,24,58,48.3,106.8,28.5,73.5,7.5,4.7,16.1,12.7,12.3,41.7,2008-09,reg
27,Oklahoma City Thunder,82,23,59,48.3,106.9,30.5,73.9,7.4,4.5,19,13,14,44.7,2008-09,reg
28,Los Angeles Clippers,82,19,63,48.5,108.8,29,71.2,7,5.9,16.8,14.6,11.9,44.5,2008-09,reg
28,Washington Wizards,82,19,63,48.1,111.2,28.4,71.4,7.5,4.5,17.4,13.2,13.7,40,2008-09,reg
30,Sacramento Kings,82,17,65,48.5,111.9,28.9,69.9,6.9,4.3,18.7,13.9,14.3,45.6,2008-09,reg
1,Boston Celtics,82,66,16,48.2,96.2,31.9,74.4,8.5,4.6,16.2,12.5,9.1,34.1,2007-08,reg
2,Detroit Pistons,82,59,23,48.1,100,29.5,73.7,7.1,5.8,11.8,11.5,9.6,35.3,2007-08,reg
3,Los Angeles Lakers,82,57,25,48.2,102.8,33.2,73.4,8,5.3,15.8,14.3,11.9,41.2,2007-08,reg
4,San Antonio Spurs,82,56,26,48.1,99.5,31.9,77.1,6.4,4.1,14,10.5,11.5,35.6,2007-08,reg
4,New Orleans Hornets,82,56,26,48.3,102.9,30.4,75.4,7.8,3.9,12.5,11.3,11.3,38.2,2007-08,reg
6,Houston Rockets,82,55,27,48.1,98.8,32.4,74.8,7.3,5.1,14.4,12.7,12.9,35.8,2007-08,reg
6,Phoenix Suns,82,55,27,48.2,104.9,32.7,70.9,6.5,6.3,16.1,15.4,12.2,44.8,2007-08,reg
8,Utah Jazz,82,54,28,48.1,104,29.4,74.1,8.7,4.3,16.2,12.8,13.6,39.7,2007-08,reg
9,Orlando Magic,82,52,30,48.2,102.7,32.6,74.8,6.3,4.1,16.1,12.7,12.5,37.4,2007-08,reg
10,Dallas Mavericks,82,51,31,48.1,103.1,32.2,75,6,4.9,13.9,12.9,12.8,39.2,2007-08,reg
11,Denver Nuggets,82,50,32,48.4,103.2,32.9,72.1,9.2,6.7,17,14.6,14.2,43,2007-08,reg
12,Golden State Warriors,82,48,34,48.2,106.6,30.4,70.3,9.1,4.6,15.6,15.7,14.3,45,2007-08,reg
13,Cleveland Cavaliers,82,45,37,48.4,103.7,31.3,75.9,7.1,5.2,15.8,11.3,12.4,37.5,2007-08,reg
14,Washington Wizards,82,43,39,48.5,106.8,29.3,72.8,7.7,4.8,15,13.1,12.9,37.6,2007-08,reg
15,Portland Trail Blazers,82,41,41,48.5,105.5,29.7,71.8,5.5,4.4,14.5,13.5,12.5,40.5,2007-08,reg
15,Toronto Raptors,82,41,41,48.4,104.3,30.4,75,7,4.1,13.6,11.7,10.6,37.6,2007-08,reg
17,Philadelphia 76ers,82,40,42,48.2,103.4,28.9,72,8.7,4.9,15,13.1,10,40.9,2007-08,reg
18,Sacramento Kings,82,38,44,48.4,107.2,30,71.7,7.9,4.1,18.4,13.6,13.1,41.4,2007-08,reg
19,Atlanta Hawks,82,37,45,48.4,105.9,29.9,71.7,7.3,5.5,17.2,14.2,13.3,43.5,2007-08,reg
20,Indiana Pacers,82,36,46,48.2,104.6,32.1,73.9,7.6,5,17.2,13.2,12,37,2007-08,reg
21,New Jersey Nets,82,34,48,48.4,106.6,30.7,73.8,6.4,4.8,16.7,13.4,12.7,37.4,2007-08,reg
22,Chicago Bulls,82,33,49,48.3,104.2,30.2,73.1,7.7,5.2,16.4,12.7,12.9,35.6,2007-08,reg
23,Charlotte Bobcats,82,32,50,48.5,106.8,29.8,71,7.5,4.9,16.8,15,13.5,43.9,2007-08,reg
24,Milwaukee Bucks,82,26,56,48.4,109.8,28.8,73,6.6,4.4,17.2,13,14.2,41.6,2007-08,reg
25,New York Knicks,82,23,59,48.5,109.6,30,72.7,6.4,2.6,17.3,13.5,12.5,41,2007-08,reg
25,Los Angeles Clippers,82,23,59,48.3,106.4,30.4,73.1,6.8,4.9,15.7,13.2,10.4,43.5,2007-08,reg
27,Memphis Grizzlies,82,22,60,48.3,109.2,31.3,73.4,6.1,4.7,18,13,16.2,45.8,2007-08,reg
27,Minnesota Timberwolves,82,22,60,48.1,108.9,29.6,73.6,7.5,3.7,17.8,13,14.5,38.9,2007-08,reg
29,Seattle SuperSonics,82,20,62,48.4,106.9,32.8,73.7,6.5,4.9,18.3,13.9,14.1,44.2,2007-08,reg
30,Miami Heat,82,15,67,48.4,107.1,28.6,71.9,7.2,4.3,17,13.9,13.5,38.8,2007-08,reg
1,Dallas Mavericks,82,67,15,48.2,100.6,30.7,75,6.8,5,15.2,11.4,12.7,36.9,2006-07,reg
2,Phoenix Suns,82,61,21,48.5,103.4,31.5,71.9,6.7,4.8,16.2,15.3,10.5,42.3,2006-07,reg
3,San Antonio Spurs,82,58,24,48.2,97.4,31.4,75.7,7.2,5.1,15.3,12.4,10.8,38.9,2006-07,reg
4,Detroit Pistons,82,53,29,48.5,101.1,29,70.9,7.1,5.8,13.2,13.3,11.2,37.2,2006-07,reg
5,Houston Rockets,82,52,30,48.4,97.5,32.6,77,7.1,4.1,14.8,11.6,9.6,33,2006-07,reg
6,Utah Jazz,82,51,31,48.3,104.7,30,75.1,7,4.1,17.5,11.1,12.2,38.2,2006-07,reg
7,Cleveland Cavaliers,82,50,32,48.5,98.9,30.8,75.8,7.6,4.3,14.7,12.3,10.7,38.1,2006-07,reg
8,Chicago Bulls,82,49,33,48.2,97,31.7,74.3,7.8,5.4,17.2,12,10.7,35.1,2006-07,reg
9,Toronto Raptors,82,47,35,48.2,103.2,30.2,74.5,7.1,3.9,15.1,12.6,11.7,40,2006-07,reg
10,Denver Nuggets,82,45,37,48.2,102.7,31.2,71.8,8.3,5.3,18.6,14.3,14.6,44.8,2006-07,reg
11,Miami Heat,82,44,38,48.4,102,30.8,73.3,6.9,5.4,16.4,13.3,12.8,36.1,2006-07,reg
12,Los Angeles Lakers,82,42,40,48.9,106.1,30.4,72.3,7.3,5.1,18.2,14.1,12.2,43.7,2006-07,reg
12,Golden State Warriors,82,42,40,48.2,104.5,29.9,69.6,9.1,5.7,18.3,16,13.4,43.9,2006-07,reg
14,New Jersey Nets,82,41,41,48.5,103.5,30.8,74.4,6.1,3.3,16.6,12.5,11.1,35.6,2006-07,reg
14,Washington Wizards,82,41,41,48.4,108,29,71,7.7,4.6,16.1,14.4,13.3,41.6,2006-07,reg
16,Orlando Magic,82,40,42,48.2,101.7,29.5,73.7,6.9,5.1,18,11.6,13,34,2006-07,reg
16,Los Angeles Clippers,82,40,42,48.1,102.8,30.3,74.7,7.3,5.8,16.5,12.1,9,40,2006-07,reg
18,New Orleans Hornets,82,39,43,48.5,104,30.6,74.7,6.4,4.2,16.2,13,11.9,37.8,2006-07,reg
19,Philadelphia 76ers,82,35,47,48.5,103.9,28.7,70.8,7.2,4.8,17.2,14.3,11.9,41.2,2006-07,reg
19,Indiana Pacers,82,35,47,48.2,103,29.8,72.7,7.3,5.5,18.5,13.2,12.6,38.7,2006-07,reg
21,New York Knicks,82,33,49,48.8,106.3,30.7,74,6.6,3.2,18.5,13.2,10.1,38.1,2006-07,reg
21,Charlotte Bobcats,82,33,49,48.8,104.8,28.6,71.6,7.8,4.5,16.9,12.9,13.1,42,2006-07,reg
21,Sacramento Kings,82,33,49,48.3,105.2,29.2,72.5,8.2,3.2,15.5,12.8,12.5,41.9,2006-07,reg
24,Minnesota Timberwolves,82,32,50,48.8,105.3,30.2,72.1,6.5,4,17.5,13.9,11.8,40.4,2006-07,reg
24,Portland Trail Blazers,82,32,50,48.7,107.3,28,73,6.8,4.6,18.3,12.6,13.9,41.2,2006-07,reg
26,Seattle SuperSonics,82,31,51,48.4,107.5,28.3,70.9,7.7,3.7,17.7,14.7,12.6,43.6,2006-07,reg
27,Atlanta Hawks,82,30,52,48.5,105.5,28.2,70.9,7.4,5.4,18.1,13.7,13.3,43,2006-07,reg
28,Milwaukee Bucks,82,28,54,48.4,109.1,27.7,68.1,7.2,2.7,17.5,14.2,12.9,43.5,2006-07,reg
29,Boston Celtics,82,24,58,48.4,104.5,29.2,73.8,7.2,4.7,18.2,12,12.4,41.7,2006-07,reg
30,Memphis Grizzlies,82,22,60,48.7,109.7,29,71.1,6.9,5,19.8,14.2,14.6,45.4,2006-07,reg
1,Detroit Pistons,82,64,18,48.4,100.2,28.6,71.2,7.1,6,13.5,12.6,11.4,40.1,2005-06,reg
2,San Antonio Spurs,82,63,19,48.3,96.9,31.1,74.2,6.6,5.7,13.1,11.8,11,39.1,2005-06,reg
3,Dallas Mavericks,82,60,22,48.5,101.9,29.6,72.2,7.2,6,14,12.8,12.3,35.9,2005-06,reg
4,Phoenix Suns,82,54,28,48.7,102.9,32.3,72.1,6.7,5,14.9,14.6,11.2,41.4,2005-06,reg
5,Miami Heat,82,52,30,48.2,101.7,32.6,76.4,6.4,5.4,16.4,11.9,12.4,35.3,2005-06,reg
6,Cleveland Cavaliers,82,50,32,48.4,102.6,30.6,75.7,6.9,4.8,15.6,11.9,10.8,37.2,2005-06,reg
7,New Jersey Nets,82,49,33,48.2,99.8,31,76.3,6.8,3.4,14.7,10.7,11.3,34.4,2005-06,reg
7,Memphis Grizzlies,82,49,33,48.4,99.2,29,72,7.3,5.4,14.8,12.6,12.3,36.3,2005-06,reg
9,Los Angeles Clippers,82,47,35,48.3,100.7,33,75.9,6.5,6.1,15.7,12.5,9.8,39,2005-06,reg
10,Los Angeles Lakers,82,45,37,48.4,102.6,30.3,73.6,7.7,4.3,14,13.2,10.1,39.1,2005-06,reg
11,Sacramento Kings,82,44,38,48.4,102.3,30.2,72.2,7.4,3.6,16.5,12.8,12.1,39.9,2005-06,reg
11,Denver Nuggets,82,44,38,48.6,102.1,30.3,72,8.5,5.6,16.7,14.2,14.2,41.1,2005-06,reg
13,Washington Wizards,82,42,40,48.4,104.7,28.6,70.9,8,4.1,15.9,13.1,12.5,40.4,2005-06,reg
14,Indiana Pacers,82,41,41,48.1,99.9,31.2,72.6,7.3,5,16.2,13.1,11.1,37.9,2005-06,reg
14,Utah Jazz,82,41,41,48.5,104.5,29,73.2,6.4,6,17.6,12.5,12.6,34.6,2005-06,reg
14,Chicago Bulls,82,41,41,48.5,100.2,31.7,74.7,6.2,4.2,16.3,13.1,10.6,32.2,2005-06,reg
17,Milwaukee Bucks,82,40,42,48.4,105,29.9,74.6,7.3,3.3,16.7,12.2,12.1,39.7,2005-06,reg
18,Philadelphia 76ers,82,38,44,48.5,104.8,29.6,71.3,7.9,4.9,15.9,14.1,13.4,41.4,2005-06,reg
18,New Orleans Hornets,82,38,44,48.3,104.4,29,73.4,7.5,3.8,14.3,12.4,12,36.3,2005-06,reg
20,Orlando Magic,82,36,46,48.5,104.7,29.3,72.5,6.5,4.4,17.1,13.1,12.3,36.8,2005-06,reg
21,Seattle SuperSonics,82,35,47,48.4,111.3,27.2,69,7.6,3.7,17.6,15.3,13.3,42.8,2005-06,reg
22,Houston Rockets,82,34,48,48.4,100.6,31.3,74.6,7.2,3.9,15.2,11.6,10.2,30.1,2005-06,reg
22,Golden State Warriors,82,34,48,48.4,103.5,30.3,71.6,7.4,4.3,16.1,13.7,13.3,40.8,2005-06,reg
24,Minnesota Timberwolves,82,33,49,48.4,101.7,29.5,71.3,6.8,5.7,15.5,14.5,10.2,39.6,2005-06,reg
24,Boston Celtics,82,33,49,48.5,104,29.7,72.8,7,5.1,18.9,13.2,10.9,39.7,2005-06,reg
26,Toronto Raptors,82,27,55,48.7,109.7,27.9,73.3,6.5,3.3,15,12.9,12.4,43,2005-06,reg
27,Atlanta Hawks,82,26,56,48.5,108.3,27.2,69.5,7.2,4.8,18.1,15.2,12,44.4,2005-06,reg
27,Charlotte Bobcats,82,26,56,48.5,104.2,27.7,70.7,10,4.3,15.5,13.5,11.4,43.4,2005-06,reg
29,New York Knicks,82,23,59,48.6,108.4,28.8,72.8,6.8,3.3,20,12.9,11.7,37,2005-06,reg
30,Portland Trail Blazers,82,21,61,48.1,109.4,26.9,68.2,6.5,5.3,17.3,14,12.4,38.9,2005-06,reg
1,Phoenix Suns,82,62,20,48.2,103.7,32.3,68.3,7,5.5,15.9,17.4,12,43.2,2004-05,reg
2,San Antonio Spurs,82,59,23,48.3,95.8,30.4,73.6,7.5,6.6,14.6,12.3,10.9,37.2,2004-05,reg
2,Miami Heat,82,59,23,48.7,99.8,32.2,74.1,6.4,5.8,14.9,12.9,11.6,34.1,2004-05,reg
