RANK,TEAM,GP,W,L,MIN,DEF_RTG,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,SEASON,PLAY
28,Los Angeles Clippers,50,9,41,48.5,107,25.9,66.9,8.5,4.7,17.5,14.9,15.5,46.6,1998-99,reg
29,Vancouver Grizzlies,50,8,42,48.7,105.1,27.2,66.9,8.4,4,19.4,15.1,17.6,43.6,1998-99,reg
1,Utah Jazz,82,62,20,48.2,102.3,29.3,71,7.9,5,17,13.6,10.1,35.3,1997-98,reg
1,Chicago Bulls,82,62,20,48.4,96.7,29.7,70.6,8.5,4.3,15,13.7,12.3,37.4,1997-98,reg
3,Los Angeles Lakers,82,61,21,48.4,100.7,30.1,68.8,9,6.8,17.5,15.6,13.3,40.4,1997-98,reg
3,Seattle SuperSonics,82,61,21,48.2,100.4,27.1,66.1,9.8,4.6,15.5,15.4,13,38.9,1997-98,reg
5,Indiana Pacers,82,58,24,48.4,98.4,28.6,67.8,7.9,4.5,14.5,14.3,12.2,37.2,1997-98,reg
6,San Antonio Spurs,82,56,26,48.4,96.2,32.2,72.2,6.3,6.9,16.6,13.5,10.6,33.7,1997-98,reg
6,Phoenix Suns,82,56,26,48.7,98.8,29.9,70,9.2,5.2,16.3,14.5,11.8,39.8,1997-98,reg
8,Miami Heat,82,55,27,48.2,98.7,29.5,69.6,8.1,5.2,16.4,14.5,10.8,36.8,1997-98,reg
9,Charlotte Hornets,82,51,31,48.2,102.7,28.5,70.8,8.4,3.8,17.1,13.8,13,40.9,1997-98,reg
10,Atlanta Hawks,82,50,32,48.5,100.8,29.5,69.1,7.9,6,16.4,14,13.3,38.2,1997-98,reg
11,Cleveland Cavaliers,82,47,35,48.4,96,28.4,71.1,9.9,5.1,18.6,12.8,13.2,36.4,1997-98,reg
12,Portland Trail Blazers,82,46,36,48.4,99.5,30.8,71.4,7.1,5.7,17.5,12.3,13.4,36.2,1997-98,reg
13,Minnesota Timberwolves,82,45,37,48.7,103.6,29.6,68.5,7.8,5.2,16.4,16.3,14,42.2,1997-98,reg
14,New York Knicks,82,43,39,48.4,97.1,29.7,74,7.7,3.4,15.3,12.1,9.3,32.5,1997-98,reg
14,New Jersey Nets,82,43,39,48.5,103.3,26.1,66.4,9.5,3.8,16,15.2,13.6,44.8,1997-98,reg
16,Washington Wizards,82,42,40,48.3,101.6,28.5,69.5,8.4,4.6,15.4,14.3,13.7,42.8,1997-98,reg
17,Orlando Magic,82,41,41,48.4,100.9,26.9,66.9,7.9,5.4,16.8,14.5,14.8,41,1997-98,reg
17,Houston Rockets,82,41,41,48.4,105.6,28.7,69.3,8.4,3.6,17.6,15.6,13.9,41.6,1997-98,reg
19,Detroit Pistons,82,37,45,48.7,100.4,28.5,70.2,8.3,4.2,15.6,14.3,11,34.3,1997-98,reg
20,Boston Celtics,82,36,46,48.1,102.6,24.9,66.8,12,4.5,17.7,14.4,15.2,46.8,1997-98,reg
20,Milwaukee Bucks,82,36,46,48.6,102.4,27.3,69.1,8.9,4.4,18.9,13.6,16.8,43.2,1997-98,reg
22,Philadelphia 76ers,82,31,51,48.2,102.7,28,67.3,8.9,6,18.5,14.7,14.6,38,1997-98,reg
23,Sacramento Kings,82,27,55,48.1,103.8,28.1,66.6,7.3,5.1,17.5,15.1,15.7,44.4,1997-98,reg
24,Dallas Mavericks,82,20,62,48.6,104.4,27.8,65.1,7.9,5.7,16.7,16.4,15.9,44,1997-98,reg
25,Golden State Warriors,82,19,63,48.4,102.8,30.2,68.6,7.6,5.5,18.5,15.2,13.8,41,1997-98,reg
25,Vancouver Grizzlies,82,19,63,48.4,109.3,28.2,66.9,7.5,4.3,19.6,15.3,17.9,43,1997-98,reg
27,Los Angeles Clippers,82,17,65,48.2,108.3,27.8,66.1,7.6,5.6,18.7,16.4,14.7,48,1997-98,reg
28,Toronto Raptors,82,16,66,48.6,107.7,26.2,62.9,9.4,8.1,19.3,18,22.5,48.4,1997-98,reg
29,Denver Nuggets,82,11,71,48.1,109.1,26.3,66.3,8.1,4.8,18.9,15.1,12.8,40.8,1997-98,reg
1,Chicago Bulls,82,69,13,49.6,99.2,30,69.3,8.7,4,14.2,14.5,10.5,38.5,1996-97,reg
2,Utah Jazz,82,64,18,50.3,101.6,29.4,71.6,9.1,5.1,16.3,13,8,34.7,1996-97,reg
3,Miami Heat,82,61,21,50,97.9,29.3,70.6,7.9,5.4,17.1,12.8,9.4,37.7,1996-97,reg
4,Seattle SuperSonics,82,57,25,49.9,99.5,27.7,69.1,11,4.7,16.3,14.6,10.8,34.4,1996-97,reg
4,New York Knicks,82,57,25,50.3,97.6,30.7,73.4,7.7,4.6,18.4,12.5,8.9,33.8,1996-97,reg
4,Houston Rockets,82,57,25,49.9,101.4,31.3,71.4,8.4,4.2,18.2,14.2,12.7,39.7,1996-97,reg
7,Atlanta Hawks,82,56,26,49.7,98.9,28.7,69.2,8.5,5.2,16.1,14.4,11.3,36.7,1996-97,reg
7,Los Angeles Lakers,82,56,26,50.3,100.8,29.4,68.5,9,7,16.1,14.9,13.6,40.5,1996-97,reg
9,Charlotte Hornets,82,54,28,49.8,105.6,28,68.1,7.3,4.3,16.3,16.1,11.1,42.6,1996-97,reg
9,Detroit Pistons,82,54,28,49.9,101.3,27.9,70.4,7.7,3.5,14,13.2,9.5,32.2,1996-97,reg
11,Portland Trail Blazers,82,49,33,50.1,100.5,30.4,72.4,7.8,5.3,18.2,12.7,12.4,39,1996-97,reg
12,Orlando Magic,82,45,37,49.9,103.3,27.1,67.3,8.5,4.4,17.7,14.3,16.4,43.4,1996-97,reg
13,Washington Bullets,82,44,38,50,102,29.5,70.3,8.7,4.9,17.2,13.5,12.6,39.9,1996-97,reg
14,Cleveland Cavaliers,82,42,40,50.2,99.4,26.3,71.9,8,3.8,15.7,11.3,8.8,33.2,1996-97,reg
15,Minnesota Timberwolves,82,40,42,49.8,103.7,28.1,68.3,7.5,6.8,16.9,14.6,13,42.2,1996-97,reg
15,Phoenix Suns,82,40,42,49.9,105.5,29,69.4,8.1,3.9,16.2,15.6,11.6,43.4,1996-97,reg
17,Indiana Pacers,82,39,43,50.4,101.8,29.1,70.4,7.1,4.8,18.3,13.4,13.2,35,1996-97,reg
18,Los Angeles Clippers,82,36,46,50.3,104.9,27.3,68.1,8.9,5.4,18.2,14,12.7,44.4,1996-97,reg
19,Sacramento Kings,82,34,48,50,105.7,28.1,68.5,7.2,4.4,18.7,13.9,13.7,41.6,1996-97,reg
20,Milwaukee Bucks,82,33,49,49.7,105.6,27.6,69.9,7.7,4.2,18.5,13.4,17,44.4,1996-97,reg
21,Golden State Warriors,82,30,52,50.1,108.9,27.5,67.5,7.5,4.4,20.7,15.1,12.2,43.5,1996-97,reg
21,Toronto Raptors,82,30,52,49.9,105.1,27.5,68.6,8.8,6.3,18.8,14.8,17.7,43.2,1996-97,reg
23,New Jersey Nets,82,26,56,49.7,106.5,29,69,8.3,5.9,17.7,14.3,14.9,43.3,1996-97,reg
24,Dallas Mavericks,82,24,58,49.9,105.7,27.6,67.3,8,4.3,17.5,13.7,14.6,39.1,1996-97,reg
25,Philadelphia 76ers,82,22,60,49.7,108.4,28.7,66.5,8.3,4.8,20.6,16.5,16.5,48.1,1996-97,reg
26,Denver Nuggets,82,21,61,50.2,108.2,29.9,69.3,6.1,5.9,19.3,15.6,13.4,45.5,1996-97,reg
27,San Antonio Spurs,82,20,62,49.7,108.8,26,67,7.9,5.3,17.3,15,12.9,40.8,1996-97,reg
28,Boston Celtics,82,15,67,50.1,108.8,26.7,68.5,9.9,3.8,19,14.6,15.9,52.7,1996-97,reg
29,Vancouver Grizzlies,82,14,68,49.7,108.9,26.3,64.1,8,5.7,18.1,16,14.4,46.2,1996-97,reg
1,Golden State Warriors,21,16,5,48.2,100.5,35.9,77.6,7.9,5.8,14.5,12.9,12.2,46,2017-18,play
2,Cleveland Cavaliers,22,12,10,48.5,108.5,31.6,79.4,6,4.4,14.4,12.4,13,46.4,2017-18,play
3,Boston Celtics,19,11,8,48.5,104.6,32.8,79.5,6.8,4.1,12.5,10.7,11.1,44.7,2017-18,play
3,Houston Rockets,17,11,6,48,106.1,34.2,80.1,8.1,5.5,13.7,10,12.4,45.9,2017-18,play
5,Utah Jazz,11,5,6,48,104.4,35.6,80.8,7.5,5,18.9,12.2,12.5,40.4,2017-18,play
5,Philadelphia 76ers,10,5,5,48.5,104.7,36.1,80.8,7.8,4.1,16.6,9.7,13.3,38.8,2017-18,play
5,New Orleans Pelicans,9,5,4,48,105.7,37.7,78.8,8.1,5,19.9,13,18.6,45.3,2017-18,play
8,Toronto Raptors,10,4,6,48.5,112.5,30.7,79.1,5.7,6.1,16.4,10.9,14.3,47.4,2017-18,play
9,Milwaukee Bucks,7,3,4,48.7,106.1,33,75.5,6.6,6.7,15.7,15,9.1,44,2017-18,play
9,Indiana Pacers,7,3,4,48,103,31.9,77.7,8.1,2.7,14.3,8.9,9,33.7,2017-18,play
11,Oklahoma City Thunder,6,2,4,48,106.1,34.7,75.4,8.8,4.2,15.3,15.2,11.7,44.3,2017-18,play
11,Washington Wizards,6,2,4,48,110.2,31.5,78.1,7.8,5.2,16,11.8,15.8,48.7,2017-18,play
13,Minnesota Timberwolves,5,1,4,48,113.3,36.6,80.3,5,3.2,13.6,14.6,8,44.4,2017-18,play
13,Miami Heat,5,1,4,48,109.6,31.4,70.4,8.8,6.4,20.6,16.2,10.2,45.6,2017-18,play
13,San Antonio Spurs,5,1,4,48,111.2,29.2,73.7,7.6,3,13.8,10.4,14.8,35.2,2017-18,play
16,Portland Trail Blazers,4,0,4,48,114.7,32.3,81.1,8.3,3.8,19,10.5,16.8,54,2017-18,play
1,Golden State Warriors,17,16,1,48,102.8,36.5,76.6,8.7,6.1,17.4,12.5,13.5,45.1,2016-17,play
2,Cleveland Cavaliers,18,13,5,48,108.3,32.9,76.1,7.4,4.7,14.5,12.4,13.4,43,2016-17,play
3,Boston Celtics,18,9,9,48.3,111.3,28.5,71.5,7.7,4.1,15.3,14.3,12.7,46.1,2016-17,play
4,San Antonio Spurs,16,8,8,48.6,109.5,31.7,78.5,7.8,4.7,15.9,11.3,16.3,41.1,2016-17,play
5,Washington Wizards,13,7,6,48.4,108.2,31.8,76.2,7.9,6.6,16.2,13.5,12.3,43.1,2016-17,play
6,Houston Rockets,11,6,5,48.5,107.1,33,71.7,7.7,4.6,18.5,14.2,14.9,48.4,2016-17,play
7,Utah Jazz,11,4,7,48,109.2,32.4,81.3,7.4,3.2,13.4,11.4,12.6,41.3,2016-17,play
7,Toronto Raptors,10,4,6,48,107.9,32.5,81.3,7.4,4.4,16.3,8.2,12.4,37,2016-17,play
9,LA Clippers,7,3,4,48,108,30,82,6.3,2.4,15.1,11,7.6,42.6,2016-17,play
10,Milwaukee Bucks,6,2,4,48,101.5,29.8,80.6,8.2,5,16.3,9.7,11.3,37,2016-17,play
10,Atlanta Hawks,6,2,4,48,106,33,77.3,6,3.3,18.3,10.3,20.7,39.3,2016-17,play
10,Chicago Bulls,6,2,4,48,108.9,34.2,78.5,7.2,5.2,16.7,11.2,11.2,46.3,2016-17,play
10,Memphis Grizzlies,6,2,4,48.8,116.8,27.8,73.9,5.2,2.5,14.7,13.3,9.2,36.7,2016-17,play
14,Oklahoma City Thunder,5,1,4,48,109.7,31.4,74.8,8.4,8,12,18.4,6.6,51.6,2016-17,play
15,Portland Trail Blazers,4,0,4,48,114.6,34,81,7.3,4.8,16.3,10.8,20,44.5,2016-17,play
15,Indiana Pacers,4,0,4,48,115.9,30.3,75.2,8,3.8,13.3,12.5,4.5,39,2016-17,play
1,Cleveland Cavaliers,21,16,5,48,103.5,32.6,79,7.8,4.2,13.5,10.6,8.4,36.9,2015-16,play
2,Golden State Warriors,24,15,9,48.2,102.1,32.7,72.4,8,5.5,16,15.5,15.2,42.3,2015-16,play
3,Oklahoma City Thunder,18,11,7,48,103.2,34.4,78.7,7.7,5.4,14.8,11.2,13.7,40.8,2015-16,play
4,Toronto Raptors,20,10,10,48.8,105.6,29.6,77.3,7.5,3.7,15,12.1,11.4,39.1,2015-16,play
5,Miami Heat,14,7,7,49.1,98.2,35.1,80.5,5.4,5.9,14.6,11.1,7.6,40.9,2015-16,play
6,San Antonio Spurs,10,6,4,48,99.5,31.6,71.7,9.1,7,12.4,12.7,13.1,39,2015-16,play
7,Portland Trail Blazers,11,5,6,48.5,108.7,34.7,75.5,6.2,3.9,14.1,13.7,11.8,43.1,2015-16,play
8,Atlanta Hawks,10,4,6,48.5,101.6,35.4,75,7.5,7.6,16.5,13.6,11.6,36,2015-16,play
9,Charlotte Hornets,7,3,4,48,106.5,29.7,75.9,5.7,3.3,9.7,13.6,9.4,43.4,2015-16,play
9,Indiana Pacers,7,3,4,48,99,30.1,67.2,7.6,5.6,16.9,16,9.6,37.1,2015-16,play
11,Boston Celtics,6,2,4,48.8,97.7,35.3,80.6,6.3,6.5,14.3,11.5,15.2,44.7,2015-16,play
11,LA Clippers,6,2,4,48,101.8,34.8,71.3,8.5,4.7,10.3,13.7,13.7,36.7,2015-16,play
13,Houston Rockets,5,1,4,48,110.1,33,77.1,8.4,4.2,23.6,11.4,19,43.2,2015-16,play
13,Dallas Mavericks,5,1,4,48,117.7,25.8,65.5,6,2.4,16.6,16.6,17.4,42,2015-16,play
15,Memphis Grizzlies,4,0,4,48,111.9,27.3,77.3,7.8,4,19.3,9.5,14.5,37.5,2015-16,play
15,Detroit Pistons,4,0,4,48,115.8,30.8,75.5,5.3,3.3,16.8,13,10.5,33.5,2015-16,play
1,Golden State Warriors,21,16,5,48.7,97.4,34,75.3,8,5.8,15.9,11.8,11.9,41.9,2014-15,play
2,Cleveland Cavaliers,20,14,6,48.8,100.3,34.9,77.5,6.3,6.4,14.1,13.8,10.7,39.7,2014-15,play
3,Houston Rockets,17,9,8,48,106.9,34.8,74.4,8.4,5.5,19.6,14.4,19,48.8,2014-15,play
4,Atlanta Hawks,16,8,8,48.6,101,33.9,74.7,8.5,4.9,14,12.9,9.6,39,2014-15,play
5,Los Angeles Clippers,14,7,7,48.4,105.3,35,75,8.6,5.9,16,14.2,14,45,2014-15,play
6,Washington Wizards,10,6,4,48.5,98.4,35.6,77.2,7.1,5.3,15.9,13.4,11.7,44.6,2014-15,play
6,Memphis Grizzlies,11,6,5,48,102,32.9,77.2,8.6,4.1,10.9,10.7,16.5,35.5,2014-15,play
6,Chicago Bulls,12,6,6,48.8,98.1,33.8,74.3,7.2,6.6,16.8,15.1,9.7,36.7,2014-15,play
9,San Antonio Spurs,7,3,4,48.7,104.4,34.7,78.6,6.1,4.7,13.6,11,16.4,42.6,2014-15,play
10,Brooklyn Nets,6,2,4,48.8,103.6,35,77.8,7.5,3.3,18.5,13,16.7,44,2014-15,play
10,Milwaukee Bucks,6,2,4,49.7,101,31.5,73.5,10.8,6.7,18.3,14.8,11.8,38.7,2014-15,play
12,Portland Trail Blazers,5,1,4,48,106.1,34.2,78.1,3.4,5.2,14,13.2,9,45.2,2014-15,play
12,Dallas Mavericks,5,1,4,48,108.6,33.8,75.1,7,4.6,17,16.6,20.4,56.4,2014-15,play
14,New Orleans Pelicans,4,0,4,49.3,111.6,31.3,69.1,7.5,5.8,14.3,16.3,22.5,42.5,2014-15,play
14,Boston Celtics,4,0,4,48,110.2,30.8,71.9,5.3,3.8,17,16.3,6.8,36.5,2014-15,play
14,Toronto Raptors,4,0,4,49.3,112.5,29.8,73,7.5,2.3,13.8,11.8,18.3,44,2014-15,play
1,San Antonio Spurs,23,16,7,48.2,101.1,32.6,77.2,8.1,3.5,13.2,11.5,11,38.3,2013-14,play
2,Miami Heat,20,13,7,48,108.7,28.1,75.3,7.4,3.9,13.1,11.9,8.8,37.6,2013-14,play
3,Oklahoma City Thunder,19,10,9,49.3,105.5,34.1,74.2,6.3,6.2,18.2,13.2,11,46,2013-14,play
3,Indiana Pacers,19,10,9,48,102.1,31.3,77,7.1,4.2,15.6,10.9,10.8,33.4,2013-14,play
5,Los Angeles Clippers,13,6,7,48,108.6,28.4,70.4,9.4,4.4,14.2,13.3,15.8,43.5,2013-14,play
5,Washington Wizards,11,6,5,48.5,98.2,33.2,79.7,7.5,5.6,13.5,11.3,7.8,33.3,2013-14,play
7,Brooklyn Nets,12,5,7,48,109.1,27.8,77,6.9,2.8,12.8,9.6,8.6,38.2,2013-14,play
7,Portland Trail Blazers,11,5,6,49.4,110.9,32.5,70.6,5.9,6,15.6,18,14.5,48.5,2013-14,play
9,Golden State Warriors,7,3,4,48,111.7,29.6,72.1,7,4.6,19.7,12.1,17.6,40.3,2013-14,play
9,Memphis Grizzlies,7,3,4,50.9,105.7,29.9,69,9,2.4,13.4,12.1,18.1,38.6,2013-14,play
9,Dallas Mavericks,7,3,4,48,110.2,29,76.6,6.6,4.1,14,10.4,13.4,45.4,2013-14,play
9,Toronto Raptors,7,3,4,48,108.3,31.6,77,5.6,3,15,11,9.9,42.9,2013-14,play
9,Atlanta Hawks,7,3,4,48,101.6,30.1,76.2,6.6,4.6,17.4,10.7,9.7,37.7,2013-14,play
14,Houston Rockets,6,2,4,50.5,111.8,32.5,72.8,6,5,17.8,16,14,39,2013-14,play
15,Chicago Bulls,5,1,4,49,104.8,29.6,72.2,5,4.4,17.4,11.6,13.6,34.4,2013-14,play
16,Charlotte Bobcats,4,0,4,48,109.8,31.5,85.7,4.3,4.5,19.8,11.5,9.3,38.5,2013-14,play
1,Miami Heat,23,16,7,48.4,99.8,28.4,71.1,8.3,5.4,13.9,13.9,8.8,39.3,2012-13,play
2,San Antonio Spurs,21,15,6,49.4,98.8,32.9,73.8,7.9,5,14.4,13.7,8.7,38.7,2012-13,play
3,Indiana Pacers,19,11,8,48.3,101.6,32.9,76.8,5.4,4.5,17.2,12.8,8.9,35.4,2012-13,play
4,Memphis Grizzlies,15,8,7,49,101.4,30,77.5,7.3,4.6,12.3,10.2,11.6,40.9,2012-13,play
5,Golden State Warriors,12,6,6,49.3,103.4,34.6,75,6.4,4.9,18.7,13.8,12.5,43,2012-13,play
5,New York Knicks,12,6,6,48.4,95.6,28.8,76.5,8.8,4.3,12.8,12.7,9.3,33.7,2012-13,play
7,Chicago Bulls,12,5,7,49.3,106.8,29,74.5,6.4,4.6,17.8,10.8,13,41.7,2012-13,play
7,Oklahoma City Thunder,11,5,6,48.5,100.2,33.1,76,6,7,16.3,13.4,11.6,39.3,2012-13,play
9,Brooklyn Nets,7,3,4,50.1,102.3,30.4,74,6.3,5.6,13.9,13.6,8.6,41.4,2012-13,play
10,Atlanta Hawks,6,2,4,48,100.1,30,70,7.3,3.8,11,12.5,7.5,40.3,2012-13,play
10,Houston Rockets,6,2,4,48,109.2,32.7,77.2,5.8,5.5,19.8,14.5,14.7,37,2012-13,play
10,Denver Nuggets,6,2,4,48,107.7,26.8,72.9,9,2.8,17.7,15.5,14,41.3,2012-13,play
10,Boston Celtics,6,2,4,48.8,96.9,33.8,76.3,5.5,3,18.7,10.3,8,31.3,2012-13,play
10,Los Angeles Clippers,6,2,4,48,109.7,28.3,73.3,5.2,5.7,13.7,16.7,12.2,44.3,2012-13,play
15,Milwaukee Bucks,4,0,4,48,108.6,26,70.7,10,2.5,16.5,19,12.3,46,2012-13,play
15,Los Angeles Lakers,4,0,4,48,111,31.5,78.3,5.8,5.3,18.3,10.5,18,42.5,2012-13,play
1,Miami Heat,23,16,7,48.4,98.5,30.3,74,7.3,5,13.3,12.8,10.3,38.3,2011-12,play
2,Oklahoma City Thunder,20,13,7,48,104.3,30.5,74.7,8.7,6.9,13.9,12.6,8.8,40.5,2011-12,play
3,Boston Celtics,20,11,9,48.8,97.1,31.9,75.1,8.2,4.9,13.8,11.3,12.3,38.9,2011-12,play
4,San Antonio Spurs,14,10,4,48,101.6,32,74.8,6.5,4.6,17.4,11.5,14.6,37,2011-12,play
5,Philadelphia 76ers,13,7,6,48,94.7,31,76.8,7.6,5.3,12.8,11.1,11.8,32.6,2011-12,play
6,Indiana Pacers,11,6,5,48.5,98.8,31.6,75.2,6.9,5.5,14.7,12.3,8.5,36.5,2011-12,play
7,Los Angeles Lakers,12,5,7,48,106.5,30.7,69.7,5.8,7.8,15.3,15,19.6,47.2,2011-12,play
8,Los Angeles Clippers,11,4,7,48.5,103.5,28.1,71,9.5,6.5,14.5,14,11.1,42.7,2011-12,play
9,Memphis Grizzlies,7,3,4,48.7,99.3,29.3,75.9,7.1,4.9,16.7,10.6,11.7,36.6,2011-12,play
9,Denver Nuggets,7,3,4,48,103.9,32.3,66.7,7,6.9,13.7,19.6,11,44,2011-12,play
11,Chicago Bulls,6,2,4,48,96.5,35.3,78.2,5.2,6.7,17.8,10.7,17.7,31.3,2011-12,play
11,Atlanta Hawks,6,2,4,48.8,95,32.5,82.3,5.5,3.3,16,9.2,14,34,2011-12,play
13,Orlando Magic,5,1,4,49,103.1,28.6,68.4,6,4.4,19,18.2,13.8,43.2,2011-12,play
13,New York Knicks,5,1,4,48,108.2,28,74.1,6,2.2,22.6,13.2,13.8,36,2011-12,play
15,Dallas Mavericks,4,0,4,48,107.8,30,80.5,8,3.5,16.5,6.5,13.5,35,2011-12,play
15,Utah Jazz,4,0,4,48,108.9,32.5,80.7,6.5,6.8,19,10.8,20.8,50,2011-12,play
1,Dallas Mavericks,21,16,5,48.2,103.4,28.7,71.7,7.1,4.1,14.2,11.8,12.8,41.8,2010-11,play
2,Miami Heat,21,14,7,48.5,100.3,30.9,75.4,7.3,6,15.9,12.6,13.6,34.2,2010-11,play
3,Chicago Bulls,16,9,7,48.3,98.2,30.2,76.1,7.3,6.6,16.6,10.7,11.6,37,2010-11,play
3,Oklahoma City Thunder,17,9,8,49.5,103.3,32.9,74.4,6.8,7.6,16,14.6,10.4,40.5,2010-11,play
5,Memphis Grizzlies,13,7,6,49.9,104,30.6,72.2,8,6,16.2,13.2,15.7,40.6,2010-11,play
6,Atlanta Hawks,12,6,6,48,102.5,28.2,70.6,6.3,5,13.8,13.8,11.2,39.8,2010-11,play
7,Boston Celtics,9,5,4,48.6,100.5,30.1,72.1,7.3,4.2,19.2,13.4,8.3,35.3,2010-11,play
8,Los Angeles Lakers,10,4,6,48,106,28.3,78.8,6.9,5.1,13.9,8.4,10.6,35.8,2010-11,play
9,New Orleans Hornets,6,2,4,48,110.8,25.8,67.7,7.2,3,13.5,15.3,8.3,42.7,2010-11,play
9,Orlando Magic,6,2,4,48,96.6,30.5,76.6,6.5,4,14.2,10,8.3,30.7,2010-11,play
9,Portland Trail Blazers,6,2,4,48,109.8,28.5,71.5,5.7,5.2,11.5,13,7.3,32.3,2010-11,play
9,San Antonio Spurs,6,2,4,48.8,103.1,31.5,76.8,7.3,5.8,13.8,14.5,12.2,45.3,2010-11,play
13,Indiana Pacers,5,1,4,48,103.3,25.4,63.2,8.2,5.6,19.6,15.8,11.2,34.4,2010-11,play
13,Denver Nuggets,5,1,4,48,106.3,30.6,70.8,6.6,3.6,12,15.6,11.2,30.4,2010-11,play
13,Philadelphia 76ers,5,1,4,48,107.7,30,69.1,6.4,3.6,11.8,15.8,9.8,32,2010-11,play
16,New York Knicks,4,0,4,48,104.2,26,69.3,6.5,6.8,17.3,15,12.3,34,2010-11,play
1,Los Angeles Lakers,23,16,7,48,105.1,30.1,72.4,6.7,6.2,13.3,12,11.9,38.4,2009-10,play
2,Boston Celtics,24,15,9,48.2,99.3,30.3,74.6,8,4.6,16,12.3,8.3,37.3,2009-10,play
3,Phoenix Suns,16,10,6,48,110,29.4,72.6,5.9,4.1,15,14.1,10.8,39.8,2009-10,play
3,Orlando Magic,14,10,4,48.4,97.5,31.1,77.3,6.4,5.5,14.7,10.9,10,32.6,2009-10,play
5,Cleveland Cavaliers,11,6,5,48,103.7,31.1,75.7,6.1,6.6,15.7,15.8,14.4,40.2,2009-10,play
6,Atlanta Hawks,11,4,7,48,108.3,26.9,72.4,6.4,5.1,15.6,13.9,9.2,38.5,2009-10,play
6,San Antonio Spurs,10,4,6,48,106.8,31,73.6,6.8,4.3,14.8,11.3,14,37.4,2009-10,play
6,Utah Jazz,10,4,6,48,114,28.7,71,5.9,4.4,15.8,12,12.8,49,2009-10,play
9,Milwaukee Bucks,7,3,4,48,106.7,28,66.9,6.3,3.3,13.9,13.3,11.9,37.1,2009-10,play
10,Denver Nuggets,6,2,4,48,112.3,29.3,76.9,8.2,4.7,16.8,12.2,12.8,44.3,2009-10,play
10,Oklahoma City Thunder,6,2,4,48,102.3,31.7,73.6,6.5,6.2,13,14.5,5.7,40.7,2009-10,play
10,Dallas Mavericks,6,2,4,48,103.4,31.8,74,7.5,5,15,14.5,12.7,41,2009-10,play
10,Portland Trail Blazers,6,2,4,48,113.4,26.5,71,6,4.3,11,17.2,10.5,40,2009-10,play
14,Chicago Bulls,5,1,4,48,112.7,30.2,77,5.8,3,8.6,10,15.2,38,2009-10,play
14,Miami Heat,5,1,4,48,103.7,28.2,79.2,7,5,23.2,7.6,17.8,36,2009-10,play
16,Charlotte Bobcats,4,0,4,48,109.6,28,75.2,5.5,4.5,14.5,8.5,11,26.5,2009-10,play
